Name, Artist, ReleaseYear
Friday Night Lights, J. Cole, 2010
We Got A Buzz Now, J. Cole, 2011
Any Given Sunday #1, J. Cole, 2011
Any Given Sunday #2, J. Cole, 2011
Any Given Sunday #5, J. Cole, 2011
Cole World: The Sideline Story, J. Cole, 2011
Truly Yours, J. Cole, 2013
Truly Yours 2, J. Cole, 2013
Born Sinner, J. Cole, 2013
Revenge Of The Dreamers, J. Cole, 2014
2014 Forest Hills Drive, J. Cole, 2014
4 Your Eyez Only, J. Cole, 2016
Misc: J. Cole, J. Cole, unk
Jeremih, Jeremih, 2009
All About You, Jeremih, 2010
Late Nights With Jeremih, Jeremih, 2012
No More, Jeremih, SHLOHMO
N.O.M.A. (Not On My Album), Jeremih, 2014
Late Nights, Jeremih, 2015
Late Nights: Europe, Jeremih, 2016
Merry Christmas Lil' Mama, Jeremih, RAPPER
Misc: Jeremih, Jeremih, unk
College Dropout, Kanye West, 2004
Late Registration, Kanye West, 2005
Graduation, Kanye West, 2007
808s & Heartbreak, Kanye West, 2008
My Beautiful Dark Twisted Fantasy, Kanye West, 2010
Watch The Throne, Kanye West, JAY-Z
Cruel Summer, Kanye West, artists
Yeezus, Kanye West, 2013
The Life Of Pablo, Kanye West, 2016
Misc: Kanye West, Kanye West, unk
Kendrick Lamar, Kendrick Lamar, 2009
Overly Dedicated, Kendrick Lamar, 2010
Section.80, Kendrick Lamar, 2011
Good Kid: M.A.A.D City, Kendrick Lamar, 2012
To Pimp A Butterfly, Kendrick Lamar, 2015
untitled unmastered., Kendrick Lamar, 2016
DAMN., Kendrick Lamar, 2017
Misc: Kendrick Lamar, Kendrick Lamar, unk
Separate My Self, L'A Capone, 2014
Misc: L'A Capone, L'A Capone, unk
Hard Core, Lil' Kim, 1996
The Notorious K.I.M., Lil' Kim, 2000
La Bella Mafia, Lil' Kim, 2003
The Naked Truth, Lil' Kim, 2005
Ms. G.O.A.T, Lil' Kim, 2008
Black Friday, Lil' Kim, Diss
Hard Core, Lil' Kim, 2014
Lil Kim Season, Lil' Kim, 2016
Misc: Lil' Kim, Lil' Kim, unk
Purple Thoughtz Ep. Vol.1, Lil Uzi Vert, 2014
The Real Uzi, Lil Uzi Vert, 2014
Luv Is Rage, Lil Uzi Vert, 2015
Lil Uzi Vs The World, Lil Uzi Vert, 2016
The Perfect Luv Tape, Lil Uzi Vert, 2016
1017 Vs The World, Lil Uzi Vert, MANE
Luv Is Rage 1.5, Lil Uzi Vert, 2017
Misc: Lil Uzi Vert, Lil Uzi Vert, unk
Hey Honey Let's Spend Wintertime On A, Lil Yachty, Zi
Lil Boat, Lil Yachty, 2016
Summer Songs 2, Lil Yachty, 2016
Teenage Emotions, Lil Yachty, 2017
Misc: Lil Yachty, Lil Yachty, unk
Back For The First Time, Ludacris, 2000
Word Of Mouf, Ludacris, 2001
Chicken N Beer, Ludacris, 2003
Red Light District, Ludacris, 2004
Release Therapy, Ludacris, 2006
Theater Of The Mind, Ludacris, 2008
Battle Of The Sexes, Ludacris, 2010
1.21 Gigawatts: Back To The First Time, Ludacris, 2011
#IDGAF, Ludacris, 2013
Burning Bridges, Ludacris, 2014
Ludaversal, Ludacris, 2015
Misc: Ludacris, Ludacris, unk
Operation: Doomsday, MF Doom, 1999
Take Me To Your Leader, MF Doom, GEEDORAH
Vaudeville Villain, MF Doom, VAUGHN
Madvillainy, MF Doom, MADVILLAIN
Venomous Villain, MF Doom, VAUGHN
Mm.. Food?, MF Doom, 2004
The Mouse And The Mask, MF Doom, DANGERDOOM
Born Like This, MF Doom, DOOM
Key To The Kuffs, MF Doom, DOOM
Nehruviandoom, MF Doom, NEHRUVIANDOOM
Misc: MF Doom, MF Doom, unk
Supa Dupa Fly, Missy 'Misdemeanor' Elliott, 1997
Da Real World, Missy 'Misdemeanor' Elliott, 1999
Miss E ...So Addictive, Missy 'Misdemeanor' Elliott, 2001
Under Construction, Missy 'Misdemeanor' Elliott, 2002
This Is Not A Test, Missy 'Misdemeanor' Elliott, 2003
The Cookbook, Missy 'Misdemeanor' Elliott, 2005
Misc: Missy 'Misdemeanor' Elliott, Missy 'Misdemeanor' Elliott, unk
Illmatic, Nas, 1994
It Was Written, Nas, 1996
I Am, Nas, 1999
Nastradamus, Nas, 1999
Stillmatic, Nas, 2001
The Lost Tapes, Nas, 2002
God's Son, Nas, 2002
Street's Disciple, Nas, 2004
Hip Hop Is Dead, Nas, 2006
Untitled, Nas, 2008
Distant Relatives, Nas, MARLEY
Life Is Good, Nas, 2012
Misc: Nas, Nas, unk
Playtime Is Over, Nicki Minaj, 2007
Sucka Free, Nicki Minaj, 2008
Beam Me Up Scotty, Nicki Minaj, 2009
Barbie World, Nicki Minaj, 2010
Pink Friday, Nicki Minaj, 2010
Pink Friday: Roman Reloaded, Nicki Minaj, 2012
Pink Friday: Roman Reloaded - The Re-Up, Nicki Minaj, 2012
The Pinkprint, Nicki Minaj, 2014
Misc: Nicki Minaj, Nicki Minaj, unk
Ready To Die, Notorious B.I.G., 1994
Life After Death, Notorious B.I.G., 1997
Born Again, Notorious B.I.G., 1999
Duets: The Final Chapter, Notorious B.I.G., 2005
Notorious, Notorious B.I.G., 2009
Misc: Notorious B.I.G., Notorious B.I.G., unk
N.W.A. And The Posse, N.W.A., 1987
Straight Outta Compton, N.W.A., 1988
100 Miles And Runnin', N.W.A., 1990
Efil4zaggin, N.W.A., 1991
Misc: N.W.A., N.W.A., unk
Hot Cool & Vicious, Salt 'n' Pepa, 1986
A Salt With A Deadly Pepa, Salt 'n' Pepa, 1988
Blacks' Magic, Salt 'n' Pepa, 1990
Very Necessary, Salt 'n' Pepa, 1993
Brand New, Salt 'n' Pepa, 1997
Setbacks, Schoolboy Q, 2011
Habits & Contradictions, Schoolboy Q, 2012
Oxymoron, Schoolboy Q, 2014
Schoolboy Q 2, Schoolboy Q, 2015
Blank Face LP, Schoolboy Q, 2016
Misc: Schoolboy Q, Schoolboy Q, unk
Slaughterhouse, Slaughterhouse, 2009
Slaughterhouse EP, Slaughterhouse, 2011
On The House, Slaughterhouse, 2012
Welcome To: Our House, Slaughterhouse, 2012
House Rules, Slaughterhouse, 2014
Misc: Slaughterhouse, Slaughterhouse, unk
Doggystyle, Snoop Dogg, 1993
Tha Doggfather, Snoop Dogg, 1996
The Game Is To Be Sold. Not To Be Told, Snoop Dogg, 1998
No Limit Top Dogg, Snoop Dogg, 1999
Tha Last Meal, Snoop Dogg, 2000
Duces 'N Trayz - The Old Fashioned Way, Snoop Dogg, 2001
Paid Tha Cost To Be Da Boss, Snoop Dogg, 2002
R & G (Rhythm & Gangsta): The Masterpiece, Snoop Dogg, 2004
Tha Blue Carpet Treatment, Snoop Dogg, 2006
Ego Trippin', Snoop Dogg, 2008
Death Row: The Lost Sessions Vol. 1, Snoop Dogg, 2009
Malice N Wonderland, Snoop Dogg, 2009
More Malice, Snoop Dogg, 2010
Doggumentary, Snoop Dogg, 2011
Mac & Devin Go To High School, Snoop Dogg, KHALIFA
Reincarnated, Snoop Dogg, LION
That's My Work 2, Snoop Dogg, 2013
7 Days Of Funk, Snoop Dogg, FUNK
That's My Work 3, Snoop Dogg, 2014
Bush, Snoop Dogg, 2015
COOLAID, Snoop Dogg, 2016
Neva Left, Snoop Dogg, 2017
Misc: Snoop Dogg, Snoop Dogg, unk
People's Instinctive Travels and the Paths of Rhythm, A Tribe Called Quest, 1990
The Low End Theory, A Tribe Called Quest, 1991
Midnight Marauders, A Tribe Called Quest, 1993
Beats Rhymes and Life, A Tribe Called Quest, 1996
The Love Movement, A Tribe Called Quest, 1998
The Anthology, A Tribe Called Quest, 1999
We Got It From Here... Thank You 4 Your Service, A Tribe Called Quest, 2016
Misc: A Tribe Called Quest, A Tribe Called Quest, unk
2Pacalypse Now, 2Pac, 1991
Strictly 4 My N.I.G.G.A.Z., 2Pac, 1993
Me Against The World, 2Pac, 1995
All Eyez On Me, 2Pac, 1996
Makaveli - The Don Killuminati: The 7 Day Theory, 2Pac, 1996
R U Still Down? (Remember Me), 2Pac, 1997
Greatest Hits, 2Pac, 1998
Still I Rise, 2Pac, 1999
Until The End Of Time (Disc One), 2Pac, 2001
Until The End Of Time (Disc Two), 2Pac, 2001
Better Dayz, 2Pac, 2002
Resurrection, 2Pac, 2003
Loyal To The Game, 2Pac, 2004
Pac's Life, 2Pac, 2006
Makaveli Vs. Mathers 2, 2Pac, EMINEM
Misc: 2Pac, 2Pac, unk
Shyne Coldchain Vol. 1, Vince Staples, 2011
Winter In Prague, Vince Staples, UZOWURU
Stolen Youth, Vince Staples, 2013
Shyne Coldchain Vol. 2, Vince Staples, 2014
Hell Can Wait, Vince Staples, 2014
Summertime 06, Vince Staples, 2015
Prima Donna, Vince Staples, 2016
Misc: Vince Staples, Vince Staples, unk
Enter The Wu-Tang (36 Chambers), Wu-Tang Clan, 1993
Wu-Tang Forever, Wu-Tang Clan, 1997
RZA Presents Wu-Tang Killa Bees: The Swarm. Vol. 1, Wu-Tang Clan, 1998
The W, Wu-Tang Clan, 2000
Iron Flag, Wu-Tang Clan, 2001
Wu-Chronicles: Chapter II, Wu-Tang Clan, 2001
Killa Beez: The Sting, Wu-Tang Clan, 2002
Dreddy Kruger Presents... Think Differently Music: Wu-tang Meets The Indie Culture, Wu-Tang Clan, 2005
8 Diagrams, Wu-Tang Clan, 2007
Wu-Tang Chamber Music, Wu-Tang Clan, 2009
Legendary Weapons, Wu-Tang Clan, 2011
A Better Tomorrow, Wu-Tang Clan, 2014
Once Upon A Time In Shaolin, Wu-Tang Clan, 2015
Misc: Wu-Tang Clan, Wu-Tang Clan, unk
